6_Round,Basic,14.5
8_Round,Basic,20
10_Round,Basic,27
Sheet,Basic,37
Heart,Basic,18.5
6_Round,Premium,16
8_Round,Premium,22.5
10_Round,Premium,30
Sheet,Premium,40
Heart,Premium,20.5
